course,lesson,resource_title,original_url,local_path,kind
Templates & Guides,🥇1:1 Mentorship - Templates & Guides · Chase AI Community,https://www.chaseai.io/mentorship,https://www.chaseai.io/mentorship,,external
Prompt Library,AI Video Camera Angle Library - Prompt Library · Chase AI Community,https://airtable.com/app569aDcEvxbsz5Z/shrPHaTmljmtQgGBY,https://airtable.com/app569aDcEvxbsz5Z/shrPHaTmljmtQgGBY,,external
Prompt Library,AI Video Camera Angle Library - Prompt Library · Chase AI Community,https://www.studiobinder.com/blog/types-of-camera-shots-sizes-in-film/?utm_source=youtube&utm_medium=video&utm_campaign=content-marketing-promotion&utm_term=camera-shot-sizes&utm_content=theshotlist-shotsizes-video,https://www.studiobinder.com/blog/types-of-camera-shots-sizes-in-film/?utm_source=youtube&utm_medium=video&utm_campaign=content-marketing-promotion&utm_term=camera-shot-sizes&utm_content=theshotlist-shotsizes-video,,external
Prompt Library,Space Knight Prompts - Prompt Library · Chase AI Community,https://www.goodreads.com/book/show/36454667-empire-of-silence,https://www.goodreads.com/book/show/36454667-empire-of-silence,,external
LinkedIn,Google Embedding 2 + RAG: The Architecture That Actually Works,https://supabase.com,https://supabase.com,,external
LinkedIn,Google Embedding 2 + RAG: The Architecture That Actually Works,https://aistudio.google.com,https://aistudio.google.com,,external
LinkedIn,Google Embedding 2 + RAG: The Architecture That Actually Works,https://youtube.com/watch?v=gmbW_lXXIkc,https://youtube.com/watch?v=gmbW_lXXIkc,,youtube.com
LinkedIn,Stitch 2.0 + Claude Code: AI Web Design Workflow - LinkedIn · Chase AI Community,https://stitch.withgoogle.com/,https://stitch.withgoogle.com/,,external
LinkedIn,Stitch 2.0 + Claude Code: AI Web Design Workflow - LinkedIn · Chase AI Community,https://dribbble.com,https://dribbble.com,,external
LinkedIn,Stitch 2.0 + Claude Code: AI Web Design Workflow - LinkedIn · Chase AI Community,https://godly.website/,https://godly.website/,,external
LinkedIn,Stitch 2.0 + Claude Code: AI Web Design Workflow - LinkedIn · Chase AI Community,https://pinterest.com,https://pinterest.com,,external
LinkedIn,Stitch 2.0 + Claude Code: AI Web Design Workflow - LinkedIn · Chase AI Community,https://21st.dev/,https://21st.dev/,,external
LinkedIn,Stitch 2.0 + Claude Code: AI Web Design Workflow - LinkedIn · Chase AI Community,https://vercel.com,https://vercel.com,,external
LinkedIn,Stitch 2.0 + Claude Code: AI Web Design Workflow - LinkedIn · Chase AI Community,https://youtube.com/watch?v=qqcpiDXPCvY,https://youtube.com/watch?v=qqcpiDXPCvY,,youtube.com
LinkedIn,10 CLI Tools That Make Claude Code Unstoppable,http://github.com/HKUDS/CLI-Anything,http://github.com/HKUDS/CLI-Anything,,github.com
LinkedIn,10 CLI Tools That Make Claude Code Unstoppable,http://github.com/jacob-bd/notebooklm-mcp-cli,http://github.com/jacob-bd/notebooklm-mcp-cli,,github.com
LinkedIn,10 CLI Tools That Make Claude Code Unstoppable,http://docs.stripe.com/stripe-cli/install,http://docs.stripe.com/stripe-cli/install,,external
LinkedIn,10 CLI Tools That Make Claude Code Unstoppable,http://github.com/stripe/stripe-cli,http://github.com/stripe/stripe-cli,,github.com
